,k
0,1.3076923076923077
1,1.3076923076923077
2,1.3076923076923077
3,1.3193372781065087
4,1.2959408284023668
5,1.3076923076923048
6,1.3076923076923053
7,1.386911242603552
8,1.307692307692306
9,1.307692307692308
10,1.3076923076923077
11,1.2958698224852072
12,1.2959408284023668
13,1.2868757396449704
14,1.3076923076923077
15,1.3076923076923077
16,1.3076923076923077
17,1.2841893491124259
18,1.2958343195266246
19,1.3076923076923077
20,1.3076923076923075
21,1.3076923076923102
22,2.0
23,1.3076923076923077
24,1.3420769230769232
